storenr,date,customers
138,2018-02-03,7192
139,2018-02-03,9920
140,2018-02-03,4768
141,2018-02-03,6224
143,2018-02-03,10528
152,2018-02-03,5640
154,2018-02-03,12852
155,2018-02-03,9348
159,2018-02-03,6876
163,2018-02-03,7960
168,2018-02-03,6260
170,2018-02-03,7640
173,2018-02-03,6860
180,2018-02-03,9412
182,2018-02-03,6712
183,2018-02-03,6968
184,2018-02-03,8484
189,2018-02-03,7672
191,2018-02-03,5120
192,2018-02-03,4964
193,2018-02-03,8160
196,2018-02-03,11272
197,2018-02-03,6164
200,2018-02-03,8660
206,2018-02-03,7256
207,2018-02-03,7196
211,2018-02-03,8292
213,2018-02-03,9460
218,2018-02-03,5860
221,2018-02-03,9080
222,2018-02-03,9284
227,2018-02-03,9332
229,2018-02-03,8020
230,2018-02-03,8668
231,2018-02-03,8756
236,2018-02-03,7508
254,2018-02-03,5228
257,2018-02-03,8396
262,2018-02-03,4880
266,2018-02-03,4452
267,2018-02-03,7620
268,2018-02-03,6468
272,2018-02-03,5728
278,2018-02-03,5188
291,2018-02-03,9032
301,2018-02-03,6248
306,2018-02-03,7028
323,2018-02-03,8928
101,2018-02-04,3124
105,2018-02-04,6808
110,2018-02-04,2900
111,2018-02-04,4436
112,2018-02-04,3088
113,2018-02-04,3220
115,2018-02-04,4744
117,2018-02-04,5020
118,2018-02-04,4820
122,2018-02-04,3788
123,2018-02-04,5240
124,2018-02-04,2636
125,2018-02-04,5780
126,2018-02-04,7628
127,2018-02-04,3304
128,2018-02-04,3900
134,2018-02-04,3808
138,2018-02-04,4044
139,2018-02-04,5872
140,2018-02-04,3348
141,2018-02-04,3932
143,2018-02-04,6560
152,2018-02-04,3216
154,2018-02-04,6828
155,2018-02-04,5760
159,2018-02-04,3968
163,2018-02-04,5184
168,2018-02-04,3844
170,2018-02-04,4624
173,2018-02-04,3632
180,2018-02-04,6228
182,2018-02-04,4188
183,2018-02-04,4168
184,2018-02-04,4768
189,2018-02-04,4560
191,2018-02-04,3052
192,2018-02-04,2984
193,2018-02-04,5320
196,2018-02-04,7580
197,2018-02-04,3484
200,2018-02-04,5144
206,2018-02-04,4928
207,2018-02-04,4308
211,2018-02-04,5012
213,2018-02-04,5800
218,2018-02-04,3224
221,2018-02-04,6080
222,2018-02-04,5376
227,2018-02-04,7252
229,2018-02-04,5060
230,2018-02-04,5992
231,2018-02-04,6516
236,2018-02-04,5196
254,2018-02-04,3684
257,2018-02-04,5740
262,2018-02-04,2944
266,2018-02-04,2912
267,2018-02-04,5088
268,2018-02-04,3912
272,2018-02-04,3652
278,2018-02-04,3332
291,2018-02-04,5224
301,2018-02-04,3080
306,2018-02-04,4876
323,2018-02-04,4892
101,2018-02-05,5260
105,2018-02-05,10444
110,2018-02-05,4936
111,2018-02-05,7656
112,2018-02-05,5652
113,2018-02-05,6036
115,2018-02-05,8496
117,2018-02-05,10136
118,2018-02-05,7744
122,2018-02-05,6236
123,2018-02-05,9120
124,2018-02-05,5068
125,2018-02-05,10068
126,2018-02-05,13380
127,2018-02-05,6684
128,2018-02-05,5924
134,2018-02-05,6868
138,2018-02-05,6320
139,2018-02-05,10060
140,2018-02-05,5012
141,2018-02-05,6424
143,2018-02-05,10676
152,2018-02-05,5160
154,2018-02-05,13308
155,2018-02-05,8852
159,2018-02-05,5636
163,2018-02-05,7960
168,2018-02-05,6404
